2.502647 38757.565
2.505286 38451.148
2.507918 38149.58
2.510544 37852.761
2.513162 37560.596
2.515774 37272.99
2.518379 36989.853
2.520977 36711.094
2.523569 36436.626
2.526153 36166.364
2.528732 35900.225
2.531303 35638.127
2.533868 35379.991
2.536427 35125.739
2.538979 34875.296
2.541525 34628.587
2.544064 34385.541
2.546597 34146.086
2.549124 33910.153
2.551644 33677.676
2.554159 33448.587
2.556667 33222.823
2.559169 33000.321
2.561665 32781.018
2.564155 32564.855
2.566639 32351.773
2.569117 32141.715
2.571589 31934.623
2.574055 31730.443
2.576516 31529.121
2.57897 31330.605
2.581419 31134.843
2.583862 30941.784
2.5863 30751.38
2.588732 30563.582
2.591158 30378.342
2.593579 30195.616
2.595994 30015.357
2.598403 29837.521
2.600807 29662.065
2.603206 29488.948
2.605599 29318.126
2.607987 29149.561
2.61037 28983.211
2.612747 28819.039
2.615119 28657.006
2.617485 28497.074
2.619847 28339.208
2.622203 28183.372
2.624554 28029.53
2.6269 27877.649
2.629241 27727.694
2.631577 27579.633
2.633908 27433.434
2.636234 27289.065
2.638555 27146.495
2.640871 27005.693
2.643182 26866.631
2.645488 26729.279
2.647789 26593.609
2.650086 26459.592
2.652377 26327.201
2.654664 26196.41
2.656947 26067.191
2.659224 25939.52
2.661497 25813.371
2.663765 25688.72
2.666029 25565.541
2.668287 25443.811
2.670542 25323.507
2.672791 25204.606
2.675037 25087.085
2.677277 24970.922
2.679514 24856.096
2.681745 24742.585
2.683973 24630.37
2.686196 24519.428
2.688414 24409.741
2.690629 24301.289
2.692839 24194.052
2.695044 24088.011
2.697245 23983.149
2.699442 23879.446
2.701635 23776.885
2.703824 23675.449
2.706008 23575.119
2.708189 23475.881
2.710365 23377.716
2.712537 23280.608
2.714705 23184.542
2.716868 23089.502
2.719028 22995.473
2.721184 22902.439
2.723335 22810.385
2.725483 22719.298
2.727627 22629.162
2.729767 22539.964
2.731903 22451.69
2.734034 22364.327
2.736163 22277.86
2.738287 22192.278
2.740407 22107.567
2.742524 22023.714
2.744636 21940.708
2.746745 21858.535
2.74885 21777.185
2.750952 21696.645
2.753049 21616.905
2.755143 21537.951
2.757234 21459.775
2.75932 21382.363
2.761403 21305.707
2.763482 21229.794
2.765558 21154.616
2.76763 21080.161
2.769699 21006.419
2.771763 20933.381
2.773825 20861.038
2.775883 20789.379
2.777937 20718.395
2.779988 20648.077
2.782035 20578.416
2.784079 20509.403
2.78612 20441.029
2.788157 20373.286
2.79019 20306.165
2.79222 20239.658
2.794247 20173.756
2.796271 20108.453
2.798291 20043.739
2.800308 19979.607
2.802321 19916.05
2.804331 19853.059
2.806338 19790.628
2.808342 19728.749
2.810343 19667.414
2.81234 19606.618
2.814334 19546.353
2.816324 19486.612
2.818312 19427.389
2.820296 19368.676
2.822278 19310.468
2.824256 19252.758
2.826231 19195.539
2.828203 19138.806
2.830171 19082.552
2.832137 19026.772
2.8341 18971.459
2.836059 18916.609
2.838016 18862.214
2.839969 18808.269
2.84192 18754.769
2.843867 18701.709
2.845812 18649.083
2.847753 18596.885
2.849692 18545.111
2.851628 18493.755
2.85356 18442.813
2.85549 18392.279
2.857417 18342.149
2.859341 18292.417
2.861262 18243.079
2.86318 18194.131
2.865096 18145.567
2.867008 18097.383
2.868918 18049.575
2.870825 18002.139
2.872729 17955.069
2.87463 17908.362
2.876529 17862.014
2.878424 17816.02
2.880317 17770.376
2.882208 17725.078
2.884095 17680.123
2.88598 17635.507
2.887862 17591.225
2.889742 17547.273
2.891618 17503.649
2.893492 17460.349
2.895364 17417.368
2.897233 17374.703
2.899099 17332.351
2.900962 17290.308
2.902823 17248.571
2.904681 17207.137
2.906537 17166.002
2.90839 17125.162
2.910241 17084.616
2.912089 17044.358
2.913934 17004.388
2.915777 16964.7
2.917617 16925.293
2.919455 16886.163
2.921291 16847.307
2.923124 16808.722
2.924954 16770.406
2.926782 16732.356
2.928607 16694.569
2.93043 16657.041
2.932251 16619.771
2.934069 16582.756
2.935885 16545.992
2.937698 16509.479
2.939509 16473.212
2.941318 16437.189
2.943124 16401.408
2.944927 16365.867
2.946729 16330.562
2.948528 16295.492
2.950325 16260.654
2.952119 16226.046
2.953911 16191.665
2.955701 16157.51
2.957488 16123.578
2.959273 16089.866
2.961056 16056.373
2.962837 16023.096
2.964615 15990.034
2.966391 15957.184
2.968165 15924.544
2.969936 15892.112
2.971706 15859.886
2.973473 15827.864
2.975238 15796.045
2.977 15764.425
2.978761 15733.004
2.980519 15701.779
2.982275 15670.749
2.984029 15639.911
2.985781 15609.264
2.987531 15578.806
2.989278 15548.535
2.991023 15518.45
2.992767 15488.549
2.994508 15458.829
2.996247 15429.29
2.997984 15399.93
2.999718 15370.747
3.001451 15341.739
3.003182 15312.905
3.00491 15284.244
3.006637 15255.753
3.008361 15227.431
3.010084 15199.277
3.011804 15171.289
3.013522 15143.466
3.015239 15115.805
3.016953 15088.307
3.018665 15060.969
3.020375 15033.79
3.022084 15006.768
3.02379 14979.902
3.025494 14953.191
3.027197 14926.634
3.028897 14900.228
3.030596 14873.973
3.032292 14847.868
3.033987 14821.911
3.035679 14796.1
3.03737 14770.435
3.039059 14744.915
3.040745 14719.538
3.04243 14694.302
3.044114 14669.208
3.045795 14644.253
3.047474 14619.436
3.049151 14594.756
3.050827 14570.213
3.052501 14545.805
3.054172 14521.53
3.055842 14497.388
3.05751 14473.378
3.059177 14449.498
3.060841 14425.748
3.062504 14402.126
3.064165 14378.632
3.065824 14355.263
3.067481 14332.021
3.069136 14308.902
3.07079 14285.907
