# R (A)        X1Sigma+ (cm-1)
   16.616158  3905.428135
   16.669076  3905.463251
   16.721993  3905.498367
   16.774911  3905.531288
   16.827829  3905.564209
   16.880746  3905.597131
   16.933664  3905.630052
   16.986582  3905.660778
   17.039499  3905.689310
   17.092417  3905.720036
   17.145335  3905.748568
   17.198252  3905.777100
   17.251170  3905.803437
   17.304088  3905.829774
   17.357006  3905.856111
   17.409923  3905.882448
   17.462841  3905.906590
   17.515759  3905.930732
   17.568676  3905.954874
   17.621594  3905.979016
   17.674512  3906.000964
   17.727429  3906.022911
   17.780347  3906.044859
   17.833265  3906.064611
   17.886183  3906.086559
   17.939100  3906.106312
   17.992018  3906.126064
   18.044936  3906.143622
   18.097853  3906.163375
   18.150771  3906.180933
   18.203689  3906.198491
   18.256607  3906.216049
   18.309524  3906.231412
   18.362442  3906.248970
   18.415360  3906.264333
   18.468277  3906.279697
   18.521195  3906.295060
   18.574113  3906.310423
   18.627030  3906.325786
   18.679948  3906.338955
   18.732866  3906.354318
   18.785784  3906.367486
   18.838701  3906.380655
   18.891619  3906.393823
   18.944537  3906.406992
   18.997454  3906.417966
   19.050372  3906.431134
   19.103290  3906.442108
   19.156207  3906.453082
   19.209125  3906.466250
   19.262043  3906.477224
   19.314961  3906.488198
   19.367878  3906.496977
   19.420796  3906.507950
   19.473714  3906.518924
   19.526631  3906.527703
   19.579549  3906.538677
   19.632467  3906.547456
   19.685384  3906.556235
   19.738302  3906.565014
   19.791220  3906.573793
   19.844137  3906.582572
   19.897055  3906.591351
   19.949973  3906.600130
   20.002891  3906.608909
   20.055808  3906.617688
   20.108726  3906.624272
   20.161644  3906.633051
   20.214561  3906.639635
   20.267479  3906.648414
   20.320397  3906.654998
   20.373314  3906.661582
   20.426232  3906.670361
   20.479150  3906.676946
   20.532068  3906.683530
   20.584985  3906.690114
   20.637903  3906.696698
   20.690821  3906.703283
   20.743738  3906.709867
   20.796656  3906.716451
   20.849574  3906.723035
   20.902492  3906.727425
   20.955409  3906.734009
   21.008327  3906.740593
   21.061245  3906.744983
   21.114162  3906.751567
   21.167080  3906.758151
   21.219998  3906.762541
   21.272915  3906.769125
   21.325833  3906.773515
   21.378751  3906.777904
   21.431669  3906.784488
   21.484586  3906.788878
   21.537504  3906.793267
   21.590422  3906.799851
   21.643339  3906.804241
   21.696257  3906.808630
   21.749175  3906.813020
   21.802092  3906.817409
   21.855010  3906.823994
   21.907928  3906.828383
   21.960846  3906.832773
   22.013763  3906.837162
   22.066681  3906.841552
   22.119599  3906.845941
   22.172516  3906.850331
   22.225434  3906.852525
   22.278352  3906.856915
   22.331269  3906.861304
   22.384187  3906.865694
   22.437105  3906.870083
   22.490023  3906.874473
   22.542940  3906.876668
   22.595858  3906.881057
   22.648776  3906.885447
   22.701693  3906.887641
   22.754611  3906.892031
   22.807529  3906.896420
   22.860446  3906.898615
   22.913364  3906.903005
   22.966282  3906.907394
   23.019199  3906.909589
   23.072117  3906.913978
   23.125035  3906.916173
   23.177953  3906.920563
   23.230870  3906.922757
   23.283788  3906.927147
   23.336706  3906.929342
   23.389623  3906.933731
   23.442541  3906.935926
   23.495459  3906.938121
   23.548376  3906.942510
   23.601294  3906.944705
   23.654212  3906.949094
   23.707130  3906.951289
   23.760047  3906.953484
   23.812965  3906.957873
