# R (a.u.)            X(1)1Sigma+         A(2)1Sigma+         (3)1Sigma+          (4)1Sigma+          (5)1Sigma+          (6)1Sigma+          (7)1Sigma+          (1)1Pi              (2)1Pi              (3)1Pi              (4)1Pi              (5)1Pi              b(1)3Pi
  0.544938614075E+01  0.669653574290E+04  0.167544144087E+05  0.103546446466E+05  0.151829771475E+05  0.117478269856E+05  0.128599514293E+05  0.130031823165E+05  0.104391430051E+05  0.114096073324E+05  0.119414259422E+05  0.989084207058E+04  0.112690748943E+05  0.281447858815E+04
  0.547435204008E+01  0.635000002645E+04  0.161246041830E+05  0.998809694539E+04  0.147314178826E+05  0.113399850413E+05  0.125000729162E+05  0.126032561433E+05  0.100858823145E+05  0.110322457125E+05  0.115457610628E+05  0.953396496466E+04  0.109063720379E+05  0.251352520717E+04
  0.549931794167E+01  0.601628232300E+04  0.155143586663E+05  0.963493391143E+04  0.142936785607E+05  0.109455044152E+05  0.121535799233E+05  0.122170040120E+05  0.974569082204E+04  0.106686453994E+05  0.111640829832E+05  0.919060544893E+04  0.105569716968E+05  0.222186691545E+04
  0.552428384594E+01  0.569487184142E+04  0.149232487990E+05  0.929452279753E+04  0.138692658986E+05  0.105637350282E+05  0.118196867224E+05  0.118439160366E+05  0.941793287561E+04  0.103181982748E+05  0.107957621326E+05  0.886012274171E+04  0.102196357720E+05  0.193930278456E+04
  0.554924975331E+01  0.538531433532E+04  0.143506730223E+05  0.896630563658E+04  0.134577125762E+05  0.101941263396E+05  0.114976146189E+05  0.114836057485E+05  0.910204575004E+04  0.998037464008E+04  0.104402422551E+05  0.854195376549E+04  0.989226789268E+04  0.166554751809E+04
  0.557421566410E+01  0.508715592400E+04  0.137955575851E+05  0.864974475321E+04  0.130585583198E+05  0.983615481859E+04  0.111865868280E+05  0.111357201683E+05  0.879748650896E+04  0.965466607583E+04  0.100969869892E+05  0.823555652774E+04  0.957253881001E+04  0.140009126306E+04
  0.559918157855E+01  0.479994272822E+04  0.132578632382E+05  0.834430247388E+04  0.126713428578E+05  0.948929693621E+04  0.108858265660E+05  0.107999063189E+05  0.850371221770E+04  0.934056416467E+04  0.976545997510E+04  0.794038903782E+04  0.925811927059E+04  0.114291582436E+04
  0.562414749675E+01  0.452322086987E+04  0.127364421405E+05  0.804945624774E+04  0.122956162243E+05  0.915304536695E+04  0.105945510994E+05  0.104758387840E+05  0.822019393210E+04  0.903757459057E+04  0.944513886027E+04  0.765592384786E+04  0.894720238875E+04  0.893476269014E+03
  0.564911341872E+01  0.425653647184E+04  0.122309335332E+05  0.776475026587E+04  0.119309739329E+05  0.882696429605E+04  0.103119514316E+05  0.101633137874E+05  0.794646445274E+04  0.874526527174E+04  0.913556310902E+04  0.738169769278E+04  0.864028682582E+04  0.651603041845E+03
  0.567407934434E+01  0.399943585272E+04  0.117412679432E+05  0.748974712738E+04  0.115770240418E+05  0.851063763222E+04  0.100372113229E+05  0.986216110191E+04  0.768207361009E+04  0.846322129121E+04  0.883628923564E+04  0.711726500979E+04  0.833850712182E+04  0.417262794714E+03
  0.569904527341E+01  0.375150492611E+04  0.112658954139E+05  0.722400943262E+04  0.112333746102E+05  0.820364928557E+04  0.976951453353E+04  0.957221050236E+04  0.742657123570E+04  0.819102773327E+04  0.854687375556E+04  0.686218023715E+04  0.804299783929E+04  0.189718830055E+03
  0.572401120560E+01  0.351241709662E+04  0.108053911517E+05  0.696711133745E+04  0.108996426372E+05  0.790559485019E+04  0.950808675472E+04  0.929325711794E+04  0.717951787582E+04  0.792827979841E+04  0.826688375763E+04  0.661600865223E+04  0.775470609809E+04 -0.307516501296E+02
  0.574897714048E+01  0.328185747663E+04  0.103582991351E+05  0.671867884206E+04  0.105754852296E+05  0.761612233988E+04  0.925234180898E+04  0.902494063106E+04  0.694052214882E+04  0.767461807378E+04  0.799593376795E+04  0.637836416259E+04  0.747373801362E+04 -0.244844688710E+03
  0.577394307751E+01  0.305951117865E+04  0.992488488611E+04  0.647835248077E+04  0.102605707379E+05  0.733489446410E+04  0.900174625950E+04  0.876685714625E+04  0.670920614960E+04  0.742969587041E+04  0.773365161143E+04  0.614887430883E+04  0.719996393515E+04 -0.452430567345E+03
  0.579890901604E+01  0.284506331527E+04  0.950431302669E+04  0.624577278869E+04  0.995456751368E+04  0.706157393327E+04  0.875576667243E+04  0.851860276586E+04  0.648519197389E+04  0.719316649992E+04  0.747966511369E+04  0.592716663230E+04  0.693325420071E+04 -0.653907747736E+03
  0.582387495532E+01  0.263819899899E+04  0.909607828810E+04  0.602058947978E+04  0.965715159992E+04  0.679583251904E+04  0.851394419251E+04  0.827968836746E+04  0.626811561913E+04  0.696469369341E+04  0.723361530923E+04  0.571288150218E+04  0.667346787305E+04 -0.849515314061E+03
  0.584884089447E+01  0.243860334221E+04  0.870018234822E+04  0.580249413208E+04  0.936803411922E+04  0.653738332031E+04  0.827616011396E+04  0.804923612094E+04  0.605767648829E+04  0.674398870466E+04  0.699520347741E+04  0.550571779538E+04  0.642041258769E+04 -0.103924816228E+04
  0.587380683253E+01  0.224596418444E+04  0.831581931654E+04  0.559119025236E+04  0.908693618984E+04  0.628595121186E+04  0.804239265435E+04  0.782625743693E+04  0.585359205111E+04  0.653077632852E+04  0.676414806383E+04  0.530539105991E+04  0.617388132629E+04 -0.122349601375E+04
  0.589877276840E+01  0.206000526293E+04  0.794255261268E+04  0.538638134818E+04  0.881357893079E+04  0.604126106938E+04  0.781262003863E+04  0.760976371790E+04  0.565557977858E+04  0.632478136059E+04  0.654016751526E+04  0.511161684490E+04  0.593366706964E+04 -0.140246159797E+04
  0.592373870090E+01  0.188047563461E+04  0.758037124786E+04  0.518777815408E+04  0.854768978715E+04  0.580304481794E+04  0.758682886085E+04  0.739879692591E+04  0.546335199260E+04  0.612572553328E+04  0.632297514859E+04  0.492410629642E+04  0.569955516926E+04 -0.157614973057E+04
  0.594870462873E+01  0.170712488676E+04  0.722868122581E+04  0.499512491317E+04  0.828902553546E+04  0.557106706741E+04  0.736504451733E+04  0.719254071269E+04  0.527659714119E+04  0.593331637712E+04  0.611226049634E+04  0.474255014598E+04  0.547129560379E+04 -0.174484280489E+04
  0.597367055047E+01  0.153970260633E+04  0.688711306279E+04  0.480817557298E+04  0.803735144692E+04  0.534510189361E+04  0.714730364207E+04  0.699021976599E+04  0.509499675817E+04  0.574725730938E+04  0.590770620279E+04  0.456663321278E+04  0.524862810735E+04 -0.190871856180E+04
  0.599863646461E+01  0.137795838001E+04  0.655555770358E+04  0.462668408192E+04  0.779243279345E+04  0.512492337323E+04  0.693364287022E+04  0.679105877887E+04  0.491823237666E+04  0.556725174669E+04  0.570899491135E+04  0.439604031523E+04  0.503129241305E+04 -0.206782326627E+04
  0.602360236951E+01  0.122164179424E+04  0.623335470243E+04  0.445041022527E+04  0.755404007903E+04  0.491031115879E+04  0.672408634307E+04  0.659439395359E+04  0.474601388028E+04  0.539302048370E+04  0.551583562314E+04  0.423048064208E+04  0.481904831031E+04 -0.222247719061E+04
  0.604856826352E+01  0.107050244144E+04  0.592043626722E+04  0.427914130042E+04  0.732196846934E+04  0.470107118390E+04  0.651859931256E+04  0.640008708132E+04  0.457818478021E+04  0.522436622595E+04  0.532806157478E+04  0.406977825014E+04  0.461175012234E+04 -0.237270620746E+04
  0.607353414529E+01  0.924322002786E+03  0.561646298045E+04  0.411267270049E+04  0.709602038572E+04  0.449701711502E+04  0.631712969282E+04  0.620815466147E+04  0.441462791937E+04  0.506111578729E+04  0.514554256951E+04  0.391379100597E+04  0.440927999577E+04 -0.251867250343E+04
  0.609850001387E+01  0.782988554919E+03  0.532105795267E+04  0.395079981668E+04  0.687599824610E+04  0.429796261578E+04  0.611962539167E+04  0.601861321123E+04  0.425522614291E+04  0.490309598173E+04  0.496814841200E+04  0.376237677773E+04  0.421152007719E+04 -0.266057033013E+04
  0.612346586874E+01  0.646412193275E+03  0.503407511680E+04  0.379332274083E+04  0.666170867472E+04  0.410372572802E+04  0.592602963304E+04  0.583149604905E+04  0.409986229323E+04  0.475013362057E+04  0.479574890375E+04  0.361539343088E+04  0.401835250971E+04 -0.279838657173E+04
  0.614843170980E+01  0.514503011042E+03  0.475498038273E+04  0.364006410011E+04  0.645297846607E+04  0.391414548572E+04  0.573626321059E+04  0.564691701563E+04  0.394841921027E+04  0.460205551276E+04  0.462821384354E+04  0.347269882876E+04  0.382965943332E+04 -0.293274495430E+04
  0.617339753733E+01  0.387171099557E+03  0.448398698841E+04  0.349085326236E+04  0.624964044728E+04  0.372906720161E+04  0.555024020551E+04  0.546501403951E+04  0.380077973188E+04  0.445868846545E+04  0.446541302785E+04  0.333415083278E+04  0.364532298532E+04 -0.306120838827E+04
