# R (a.u.)            X(1)1Sigma+         A(2)1Sigma+         (3)1Sigma+          (4)1Sigma+          (5)1Sigma+          (6)1Sigma+          (7)1Sigma+          (1)1Pi              (2)1Pi              (3)1Pi              (4)1Pi              (5)1Pi              b(1)3Pi
  0.925575960608E+01 -0.349971332376E+04 -0.532645055970E+04 -0.329575352475E+04 -0.151064355473E+04 -0.383489943275E+04 -0.339738195464E+04 -0.267923431743E+04 -0.161306647439E+04 -0.150090226308E+04 -0.779000755027E+03 -0.217780444494E+04 -0.402083805879E+04 -0.605550786139E+04
  0.928168001791E+01 -0.348232745560E+04 -0.533391469241E+04 -0.330757498309E+04 -0.152118841062E+04 -0.383436825342E+04 -0.341159397867E+04 -0.268482110611E+04 -0.160783078438E+04 -0.150714912722E+04 -0.780847792249E+03 -0.218136614287E+04 -0.402459534663E+04 -0.603294118261E+04
  0.930764825527E+01 -0.346419257790E+04 -0.534085936372E+04 -0.331903262170E+04 -0.153145180009E+04 -0.383335172697E+04 -0.342530011370E+04 -0.268993926248E+04 -0.160231383867E+04 -0.151300364585E+04 -0.782527250953E+03 -0.218459212911E+04 -0.402790647010E+04 -0.601001596040E+04
  0.933366559748E+01 -0.344604453955E+04 -0.534730270664E+04 -0.333013031388E+04 -0.154143642074E+04 -0.383185902022E+04 -0.343850487649E+04 -0.269459533911E+04 -0.159652439695E+04 -0.151846910194E+04 -0.784042121811E+03 -0.218748686795E+04 -0.403077754645E+04 -0.598670038657E+04
  0.935973337361E+01 -0.342787874833E+04 -0.535324610118E+04 -0.334087170938E+04 -0.155114476298E+04 -0.382989914020E+04 -0.345121259339E+04 -0.269879561926E+04 -0.159047103628E+04 -0.152354852029E+04 -0.785395189686E+03 -0.219005461672E+04 -0.403321452299E+04 -0.596301190117E+04
  0.938585296445E+01 -0.340931499837E+04 -0.535869057132E+04 -0.335126043567E+04 -0.156057929432E+04 -0.382748110703E+04 -0.346342756156E+04 -0.270254636696E+04 -0.158416236382E+04 -0.152824488371E+04 -0.786589227321E+03 -0.219229961450E+04 -0.403522333548E+04 -0.593897369875E+04
  0.941202580466E+01 -0.339042211792E+04 -0.536364499531E+04 -0.336130011444E+04 -0.156974247458E+04 -0.382461396893E+04 -0.347515405764E+04 -0.270585384931E+04 -0.157760703774E+04 -0.153256115064E+04 -0.787627013151E+03 -0.219422609848E+04 -0.403680992229E+04 -0.591458433841E+04
  0.943825338501E+01 -0.337133970125E+04 -0.536811492721E+04 -0.337099421172E+04 -0.157863662382E+04 -0.382130665878E+04 -0.348639610876E+04 -0.270872418010E+04 -0.157081363300E+04 -0.153650011187E+04 -0.788511225169E+03 -0.219583817862E+04 -0.403798012749E+04 -0.588984079485E+04
  0.946453725478E+01 -0.335191135524E+04 -0.537210551741E+04 -0.338034601773E+04 -0.158726390452E+04 -0.381756797665E+04 -0.349715746131E+04 -0.271116329959E+04 -0.156379062635E+04 -0.154006437045E+04 -0.789244427246E+03 -0.219713982119E+04 -0.403873968812E+04 -0.586474545804E+04
  0.949087902430E+01 -0.333168371891E+04 -0.537562037457E+04 -0.338935880843E+04 -0.159562646348E+04 -0.381340674910E+04 -0.350744182644E+04 -0.271317714414E+04 -0.155654654805E+04 -0.154325649424E+04 -0.789829184851E+03 -0.219813498424E+04 -0.403909433990E+04 -0.583931485988E+04
  0.951728036769E+01 -0.331134430781E+04 -0.537866437378E+04 -0.339803583387E+04 -0.160372642806E+04 -0.380883182398E+04 -0.351725287787E+04 -0.271477163649E+04 -0.154908996999E+04 -0.154607900407E+04 -0.790268053312E+03 -0.219882760573E+04 -0.403904981028E+04 -0.581355579298E+04
  0.954374301207E+01 -0.329117999801E+04 -0.538124394757E+04 -0.340638008694E+04 -0.161156577636E+04 -0.380385189782E+04 -0.352659408234E+04 -0.271595246814E+04 -0.154142924736E+04 -0.154853415836E+04 -0.790563369417E+03 -0.219922138382E+04 -0.403861167366E+04 -0.578746048712E+04
  0.957026857144E+01 -0.327068801254E+04 -0.538336143838E+04 -0.341439433191E+04 -0.161914633312E+04 -0.379847561587E+04 -0.353546870087E+04 -0.271672517230E+04 -0.153357266544E+04 -0.155062401367E+04 -0.790717323698E+03 -0.219931985372E+04 -0.403778540953E+04 -0.576104755172E+04
  0.959685842799E+01 -0.324988363285E+04 -0.538502123900E+04 -0.342208124114E+04 -0.162646983382E+04 -0.379271173998E+04 -0.354387988165E+04 -0.271709529050E+04 -0.152552867407E+04 -0.155235057841E+04 -0.790732112878E+03 -0.219912655381E+04 -0.403657652478E+04 -0.573432619964E+04
  0.962351371905E+01 -0.322892566071E+04 -0.538622847778E+04 -0.342944337150E+04 -0.163353792590E+04 -0.378656913142E+04 -0.355183062439E+04 -0.271706835508E+04 -0.151730585331E+04 -0.155371581126E+04 -0.790609936642E+03 -0.219864501177E+04 -0.403499053670E+04 -0.570729206646E+04
  0.965023532524E+01 -0.320773065950E+04 -0.538698770769E+04 -0.343648298718E+04 -0.164035212906E+04 -0.378005655966E+04 -0.355932352394E+04 -0.271664970762E+04 -0.150891266687E+04 -0.155472153400E+04 -0.790352939227E+03 -0.219787860521E+04 -0.403303279904E+04 -0.567994546636E+04
  0.967702385787E+01 -0.318574282635E+04 -0.538730316828E+04 -0.344320222076E+04 -0.164691388512E+04 -0.377318289233E+04 -0.356636100359E+04 -0.271584467673E+04 -0.150035767742E+04 -0.155536953071E+04 -0.789963267866E+03 -0.219683069650E+04 -0.403070867327E+04 -0.565230388122E+04
  0.970387964567E+01 -0.316359960194E+04 -0.538717847133E+04 -0.344960316959E+04 -0.165322459099E+04 -0.376595721187E+04 -0.357294545476E+04 -0.271465868696E+04 -0.149164967228E+04 -0.155566161166E+04 -0.789443108633E+03 -0.219550471495E+04 -0.402802363338E+04 -0.562436226790E+04
  0.973080272096E+01 -0.314175331832E+04 -0.538661806406E+04 -0.345568782646E+04 -0.165928558484E+04 -0.375838876401E+04 -0.357907918331E+04 -0.271309718747E+04 -0.148279753651E+04 -0.155559958071E+04 -0.788794608849E+03 -0.219390409275E+04 -0.402498323169E+04 -0.559612911205E+04
  0.975779280538E+01 -0.311961700911E+04 -0.538562630477E+04 -0.346145795573E+04 -0.166509811628E+04 -0.375048685686E+04 -0.358476430691E+04 -0.271116552034E+04 -0.147381003464E+04 -0.155518516935E+04 -0.788019744535E+03 -0.219203214909E+04 -0.402159302800E+04 -0.556761973458E+04
  0.978484929536E+01 -0.309736022027E+04 -0.538420694875E+04 -0.346691529372E+04 -0.167066341391E+04 -0.374226104798E+04 -0.359000294557E+04 -0.270886914674E+04 -0.146469612702E+04 -0.155442017146E+04 -0.787120513255E+03 -0.218989228167E+04 -0.401785873411E+04 -0.553883926367E+04
  0.981197124741E+01 -0.307470267927E+04 -0.538236511604E+04 -0.347206159510E+04 -0.167598270781E+04 -0.373372119095E+04 -0.359479727151E+04 -0.270621370369E+04 -0.145546502799E+04 -0.155330648564E+04 -0.786098975455E+03 -0.218748801208E+04 -0.401378625244E+04 -0.550979251883E+04
  0.983915736356E+01 -0.305132610637E+04 -0.538010569167E+04 -0.347689846695E+04 -0.168105721375E+04 -0.372487723945E+04 -0.359914931940E+04 -0.270320486818E+04 -0.144612587829E+04 -0.155184610348E+04 -0.784957195191E+03 -0.218482284211E+04 -0.400938149201E+04 -0.548049079995E+04
  0.986640597703E+01 -0.302824857777E+04 -0.537743192856E+04 -0.348142735147E+04 -0.168588814108E+04 -0.371573922544E+04 -0.360306097129E+04 -0.269984834917E+04 -0.143668768822E+04 -0.155004112539E+04 -0.783697234854E+03 -0.218190023981E+04 -0.400465035034E+04 -0.545093196638E+04
  0.989371503850E+01 -0.300529995632E+04 -0.537434824782E+04 -0.348564974941E+04 -0.169047673883E+04 -0.370631752055E+04 -0.360653422537E+04 -0.269615008647E+04 -0.142715972127E+04 -0.154789382089E+04 -0.782321237561E+03 -0.217872383610E+04 -0.399959896467E+04 -0.542111882579E+04
  0.992108210314E+01 -0.298205694146E+04 -0.537086305956E+04 -0.348956723048E+04 -0.169482431152E+04 -0.369662284157E+04 -0.360957121596E+04 -0.269211625520E+04 -0.141755145888E+04 -0.154540665821E+04 -0.780831423805E+03 -0.217529743243E+04 -0.399423372066E+04 -0.539108817727E+04
  0.994850431877E+01 -0.295866592261E+04 -0.536697764944E+04 -0.349318130688E+04 -0.169893223239E+04 -0.368666608278E+04 -0.361217408406E+04 -0.268775309181E+04 -0.140787215962E+04 -0.154258236068E+04 -0.779229991088E+03 -0.217162487794E+04 -0.398856109107E+04 -0.536082021950E+04
  0.997597841542E+01 -0.293527771825E+04 -0.536269805231E+04 -0.349649353457E+04 -0.170280195833E+04 -0.367645843073E+04 -0.361434509455E+04 -0.268306702309E+04 -0.139813110983E+04 -0.153942390988E+04 -0.777519181105E+03 -0.216771016316E+04 -0.398258775551E+04 -0.533033319243E+04
  0.100035006967E+02 -0.291144163125E+04 -0.535803194584E+04 -0.349950561141E+04 -0.170643504487E+04 -0.366601147216E+04 -0.361608674966E+04 -0.267806478964E+04 -0.138833786171E+04 -0.153593454927E+04 -0.775701344001E+03 -0.216355750977E+04 -0.397632071476E+04 -0.529965219774E+04
  0.100310670333E+02 -0.288700548654E+04 -0.535298212994E+04 -0.350221930861E+04 -0.170983317246E+04 -0.365533708555E+04 -0.361740173635E+04 -0.267275338840E+04 -0.137850200818E+04 -0.153211785829E+04 -0.773778901201E+03 -0.215917131193E+04 -0.396976719533E+04 -0.526875704313E+04
  0.100586730336E+02 -0.286303330342E+04 -0.534755513563E+04 -0.350463634847E+04 -0.171299820089E+04 -0.364444717145E+04 -0.361829281496E+04 -0.266713991971E+04 -0.136863272200E+04 -0.152797783914E+04 -0.771754261273E+03 -0.215455599083E+04 -0.396293442296E+04 -0.523766867595E+04
  0.100863145280E+02 -0.283918542343E+04 -0.534176044901E+04 -0.350675864763E+04 -0.171593219833E+04 -0.363335370901E+04 -0.361876302070E+04 -0.266123165175E+04 -0.135873907133E+04 -0.152351872409E+04 -0.769629879933E+03 -0.214971607531E+04 -0.395582974752E+04 -0.520641659701E+04
  0.101139876672E+02 -0.281511346123E+04 -0.533560295452E+04 -0.350858834082E+04 -0.171863742884E+04 -0.362206873171E+04 -0.361881567330E+04 -0.265503600199E+04 -0.134883005054E+04 -0.151874491823E+04 -0.767408260311E+03 -0.214465619515E+04 -0.394846063639E+04 -0.517500119930E+04
  0.101416889377E+02 -0.279099422654E+04 -0.532908488850E+04 -0.351012761522E+04 -0.172111629560E+04 -0.361060400699E+04 -0.361845425934E+04 -0.264856033056E+04 -0.133891402454E+04 -0.151366106332E+04 -0.765091853046E+03 -0.213938091471E+04 -0.394083442109E+04 -0.514340958162E+04
  0.101694151759E+02 -0.276694125115E+04 -0.532221884356E+04 -0.351137869030E+04 -0.172337132415E+04 -0.359897100807E+04 -0.361768240158E+04 -0.264181191194E+04 -0.132899871812E+04 -0.150827200996E+04 -0.762683046964E+03 -0.213389471276E+04 -0.393295827070E+04 -0.511167952007E+04
  0.101971635797E+02 -0.274237915637E+04 -0.531500897513E+04 -0.351234393888E+04 -0.172540518467E+04 -0.358718117029E+04 -0.361650391297E+04 -0.263479808055E+04 -0.131909173464E+04 -0.150258270102E+04 -0.760184247739E+03 -0.212820210402E+04 -0.392483938531E+04 -0.507981258802E+04
  0.102249317187E+02 -0.271744230294E+04 -0.530745986834E+04 -0.351302584932E+04 -0.172722069268E+04 -0.357524581405E+04 -0.361492276330E+04 -0.262752618525E+04 -0.130920044456E+04 -0.149659820026E+04 -0.757597868922E+03 -0.212230760500E+04 -0.391648492806E+04 -0.504780819927E+04
  0.102527175432E+02 -0.269311377693E+04 -0.529957950937E+04 -0.351342690416E+04 -0.172882086357E+04 -0.356317583439E+04 -0.361294302309E+04 -0.262000344647E+04 -0.129933141833E+04 -0.149032393025E+04 -0.754926306250E+03 -0.211621562247E+04 -0.390790176720E+04 -0.501567752234E+04
  0.102805193906E+02 -0.266884595043E+04 -0.529137299761E+04 -0.351354963874E+04 -0.173020883779E+04 -0.355098191287E+04 -0.361056885205E+04 -0.261223702611E+04 -0.128949087108E+04 -0.148376543496E+04 -0.752171943100E+03 -0.210993050958E+04 -0.389909664127E+04 -0.498342150057E+04
  0.103083359922E+02 -0.264443234459E+04 -0.528284910774E+04 -0.351339665981E+04 -0.173138783405E+04 -0.353867461523E+04 -0.360780447865E+04 -0.260423405148E+04 -0.127968488498E+04 -0.147692824777E+04 -0.749337148520E+03 -0.210345658527E+04 -0.389007623174E+04 -0.495106062620E+04
  0.103361664780E+02 -0.262006878907E+04 -0.527401385069E+04 -0.351297051349E+04 -0.173236110887E+04 -0.352626407855E+04 -0.360465421079E+04 -0.259600148588E+04 -0.126991898839E+04 -0.146981798372E+04 -0.746424175816E+03 -0.209679800484E+04 -0.388084695175E+04 -0.491860019575E+04
  0.103640103809E+02 -0.259577876309E+04 -0.526486993939E+04 -0.351227358591E+04 -0.173313192369E+04 -0.351375978702E+04 -0.360112243498E+04 -0.258754603166E+04 -0.126019785792E+04 -0.146244039923E+04 -0.743435088896E+03 -0.208995866423E+04 -0.387141479164E+04 -0.488603107373E+04
  0.103918676410E+02 -0.257090217152E+04 -0.525542219671E+04 -0.351130825455E+04 -0.173370356668E+04 -0.350117102361E+04 -0.359721352411E+04 -0.257887427945E+04 -0.125052596880E+04 -0.145480119155E+04 -0.740371901782E+03 -0.208294236017E+04 -0.386178559858E+04 -0.485335930376E+04
  0.104197386094E+02 -0.254595232714E+04 -0.524568041389E+04 -0.351007687870E+04 -0.173407934521E+04 -0.348850685849E+04 -0.359293182237E+04 -0.256999269440E+04 -0.124090760207E+04 -0.144690598851E+04 -0.737236587529E+03 -0.207575278912E+04 -0.385196506462E+04 -0.482060213210E+04
  0.104476240517E+02 -0.252164337834E+04 -0.523564868085E+04 -0.350858170564E+04 -0.173426260083E+04 -0.347577566078E+04 -0.358828179843E+04 -0.256090746912E+04 -0.123134625907E+04 -0.143876059460E+04 -0.734031064650E+03 -0.206839347864E+04 -0.384195845732E+04 -0.478775839868E+04
  0.104755251524E+02 -0.249731414977E+04 -0.522532877431E+04 -0.350682488591E+04 -0.173425668220E+04 -0.346298531893E+04 -0.358326793443E+04 -0.255162457029E+04 -0.122184493978E+04 -0.143037084939E+04 -0.730757195781E+03 -0.206086780067E+04 -0.383177072472E+04 -0.475482186863E+04
  0.105034435199E+02 -0.247291505523E+04 -0.521472993451E+04 -0.350480850123E+04 -0.173406491389E+04 -0.345014354183E+04 -0.357789458595E+04 -0.254214980781E+04 -0.121240651882E+04 -0.142174244309E+04 -0.727416788022E+03 -0.205317899435E+04 -0.382140664326E+04 -0.472181128381E+04
  0.105313811920E+02 -0.244864362155E+04 -0.520385384793E+04 -0.350253449810E+04 -0.173369057610E+04 -0.343725758466E+04 -0.357216605228E+04 -0.253248876663E+04 -0.120303348896E+04 -0.141288095932E+04 -0.724011556789E+03 -0.204533007734E+04 -0.381087068286E+04 -0.468871953540E+04
  0.105593405139E+02 -0.242437148542E+04 -0.519270105043E+04 -0.350000459513E+04 -0.173313688199E+04 -0.342433381399E+04 -0.356608675404E+04 -0.252264673927E+04 -0.119372753381E+04 -0.140379201097E+04 -0.720543081033E+03 -0.203732373341E+04 -0.380016682191E+04 -0.465553555230E+04
  0.105873237856E+02 -0.239947736986E+04 -0.518127764181E+04 -0.349722041829E+04 -0.173240699889E+04 -0.341137851031E+04 -0.355966107880E+04 -0.251262897906E+04 -0.118449026000E+04 -0.139448121281E+04 -0.717012919123E+03 -0.202916258854E+04 -0.378929896716E+04 -0.462226711442E+04
  0.106153332009E+02 -0.237483712783E+04 -0.516959601953E+04 -0.349418353276E+04 -0.173150405901E+04 -0.339839800279E+04 -0.355289338492E+04 -0.250244075383E+04 -0.117532332209E+04 -0.138495419260E+04 -0.713422631997E+03 -0.202084926844E+04 -0.377827103041E+04 -0.458894400144E+04
  0.106433708478E+02 -0.235074560151E+04 -0.515765380519E+04 -0.349089541457E+04 -0.173043117548E+04 -0.338539811571E+04 -0.354578850620E+04 -0.249208731292E+04 -0.116622801282E+04 -0.137521680970E+04 -0.709773751891E+03 -0.201238637125E+04 -0.376708672028E+04 -0.455555030112E+04
  0.106714387082E+02 -0.232657440343E+04 -0.514544851754E+04 -0.348735746106E+04 -0.172919144709E+04 -0.337238423839E+04 -0.353835170563E+04 -0.248157389983E+04 -0.115720531027E+04 -0.136527514023E+04 -0.706067788768E+03 -0.200377647681E+04 -0.375574957338E+04 -0.452206877133E+04
  0.106995386578E+02 -0.230240608541E+04 -0.513298590503E+04 -0.348357102838E+04 -0.172778795512E+04 -0.335936183240E+04 -0.353058824350E+04 -0.247090579667E+04 -0.114825624554E+04 -0.135513529823E+04 -0.702306263203E+03 -0.199502218129E+04 -0.374426315386E+04 -0.448850731388E+04
  0.107276724642E+02 -0.227842136838E+04 -0.512027358586E+04 -0.347953740700E+04 -0.172622375800E+04 -0.334633621503E+04 -0.352250345106E+04 -0.246008827935E+04 -0.113938177495E+04 -0.134480343420E+04 -0.698490682113E+03 -0.198612605429E+04 -0.373263097138E+04 -0.445488138133E+04
  0.107558417866E+02 -0.225427663647E+04 -0.510731565581E+04 -0.347525772526E+04 -0.172450186243E+04 -0.333331179439E+04 -0.351410299477E+04 -0.244912645244E+04 -0.113058232760E+04 -0.133428573207E+04 -0.694622451787E+03 -0.197709048527E+04 -0.372085618126E+04 -0.442119451439E+04
  0.107840481735E+02 -0.222960314976E+04 -0.509411452539E+04 -0.347073305355E+04 -0.172262526147E+04 -0.332029280770E+04 -0.350539264492E+04 -0.243802542069E+04 -0.112185823643E+04 -0.132358842892E+04 -0.690702965439E+03 -0.196791784019E+04 -0.370894188233E+04 -0.438744536830E+04
  0.108122930608E+02 -0.220549258657E+04 -0.508067348615E+04 -0.346596444514E+04 -0.172059695070E+04 -0.330728356992E+04 -0.349637821542E+04 -0.242679035561E+04 -0.111320988326E+04 -0.131271782824E+04 -0.686733636261E+03 -0.195861051989E+04 -0.369689122200E+04 -0.435363684843E+04
  0.108405777698E+02 -0.218173766604E+04 -0.506699682754E+04 -0.346095292910E+04 -0.171841991253E+04 -0.329428793178E+04 -0.348706606431E+04 -0.241542652439E+04 -0.110463742629E+04 -0.130168034119E+04 -0.682715909857E+03 -0.194917094062E+04 -0.368470723735E+04 -0.431977518360E+04
  0.108689035042E+02 -0.215790088810E+04 -0.505308419232E+04 -0.345569951370E+04 -0.171609711693E+04 -0.328130917245E+04 -0.347746320313E+04 -0.240393930091E+04 -0.109614074453E+04 -0.129048250114E+04 -0.678651268436E+03 -0.193960153408E+04 -0.367239282761E+04 -0.428585400442E+04
  0.108972713474E+02 -0.213415071396E+04 -0.503893533520E+04 -0.345020520817E+04 -0.171363155007E+04 -0.326835062560E+04 -0.346757674705E+04 -0.239233414644E+04 -0.108771974755E+04 -0.127913093334E+04 -0.674541221185E+03 -0.192990478023E+04 -0.365995094747E+04 -0.425186805876E+04
  0.109256822593E+02 -0.211059876334E+04 -0.502455771975E+04 -0.344447102667E+04 -0.171102621526E+04 -0.325541555344E+04 -0.345741398653E+04 -0.238061658260E+04 -0.107937433978E+04 -0.126763234285E+04 -0.670387279662E+03 -0.192008318683E+04 -0.364738455952E+04 -0.421783359973E+04
  0.109541370727E+02 -0.208666337990E+04 -0.500996224398E+04 -0.343849798015E+04 -0.170828411464E+04 -0.324250642067E+04 -0.344698281629E+04 -0.236879205991E+04 -0.107110418424E+04 -0.125599344671E+04 -0.666190846491E+03 -0.191013917647E+04 -0.363469635797E+04 -0.418376994199E+04
  0.109826364900E+02 -0.206253120567E+04 -0.499514788121E+04 -0.343228709475E+04 -0.170540827219E+04 -0.322962548327E+04 -0.343629140769E+04 -0.235686607420E+04 -0.106290889127E+04 -0.124422104118E+04 -0.661953308670E+03 -0.190007518632E+04 -0.362188900082E+04 -0.414967072848E+04
  0.110111810787E+02 -0.203911997427E+04 -0.498010752468E+04 -0.342583942370E+04 -0.170240174637E+04 -0.321677507399E+04 -0.342534805582E+04 -0.234484422843E+04 -0.105478810872E+04 -0.123232203588E+04 -0.657676085999E+03 -0.188989371912E+04 -0.360896522506E+04 -0.411551810321E+04
  0.110397712694E+02 -0.201579094925E+04 -0.496485292633E+04 -0.341915602531E+04 -0.169926758651E+04 -0.320395716776E+04 -0.341416147043E+04 -0.233273226784E+04 -0.104674135009E+04 -0.122030335046E+04 -0.653360658510E+03 -0.187959728685E+04 -0.359592768952E+04 -0.408133434335E+04
  0.110684074232E+02 -0.199259266284E+04 -0.494938590995E+04 -0.341223794204E+04 -0.169600881210E+04 -0.319117319890E+04 -0.340274085482E+04 -0.232053606497E+04 -0.103876791419E+04 -0.120817185186E+04 -0.649008566335E+03 -0.186918836804E+04 -0.358277889021E+04 -0.404712295243E+04
  0.110970899250E+02 -0.196930292348E+04 -0.493370958303E+04 -0.340508621595E+04 -0.169262846344E+04 -0.317842456600E+04 -0.339109551710E+04 -0.230826154257E+04 -0.103086707237E+04 -0.119593445337E+04 -0.644621363466E+03 -0.185866945077E+04 -0.356952132156E+04 -0.401288961885E+04
  0.111258191912E+02 -0.194556425479E+04 -0.491783537885E+04 -0.339770188577E+04 -0.168912959608E+04 -0.316571256287E+04 -0.337923490287E+04 -0.229591465375E+04 -0.102303806343E+04 -0.118359807327E+04 -0.640200585843E+03 -0.184804302346E+04 -0.355615743016E+04 -0.397865539790E+04
  0.111545956703E+02 -0.192246036663E+04 -0.490175316439E+04 -0.339008597253E+04 -0.168551523949E+04 -0.315303790177E+04 -0.336716886880E+04 -0.228350131703E+04 -0.101528000805E+04 -0.117116941595E+04 -0.635747624288E+03 -0.183731151963E+04 -0.354268935611E+04 -0.394439758061E+04
  0.111834198441E+02 -0.189968756505E+04 -0.488546702202E+04 -0.338223948909E+04 -0.168178842982E+04 -0.314040109317E+04 -0.335490746572E+04 -0.227102746903E+04 -0.100759197698E+04 -0.115865514719E+04 -0.631263825725E+03 -0.182647736135E+04 -0.352911913841E+04 -0.391012418940E+04
  0.112122922286E+02 -0.187688421278E+04 -0.486899100284E+04 -0.337416344535E+04 -0.167795222483E+04 -0.312780263388E+04 -0.334246083053E+04 -0.225849909257E+04 -0.999973024330E+03 -0.114606197925E+04 -0.626750545765E+03 -0.181554297938E+04 -0.351544881679E+04 -0.387586429432E+04
  0.112412133749E+02 -0.185423236430E+04 -0.485232068879E+04 -0.336585888019E+04 -0.167400963979E+04 -0.311524276510E+04 -0.332983928145E+04 -0.224592224332E+04 -0.992422129462E+03 -0.113339649201E+04 -0.622209164805E+03 -0.180451074458E+04 -0.350168031759E+04 -0.384160778056E+04
  0.112701838704E+02 -0.183178328821E+04 -0.483545569290E+04 -0.335732686800E+04 -0.166996363242E+04 -0.310272141561E+04 -0.331705334147E+04 -0.223330305663E+04 -0.984938183229E+03 -0.112066509159E+04 -0.617641091875E+03 -0.179338295170E+04 -0.348781542660E+04 -0.380735387428E+04
  0.112992043400E+02 -0.180891749631E+04 -0.481840194060E+04 -0.334856847908E+04 -0.166581717781E+04 -0.309023848388E+04 -0.330411362943E+04 -0.222064771838E+04 -0.977520055753E+03 -0.110787422084E+04 -0.613047746002E+03 -0.178216189879E+04 -0.347385592147E+04 -0.377311524713E+04
  0.113282754470E+02 -0.178611511582E+04 -0.480116699575E+04 -0.333958477024E+04 -0.166157325144E+04 -0.307779380168E+04 -0.329103084661E+04 -0.220796246793E+04 -0.970166590985E+03 -0.109503028091E+04 -0.608430526563E+03 -0.177084987565E+04 -0.345980350354E+04 -0.373890809044E+04
  0.113573978946E+02 -0.176400683453E+04 -0.478374833703E+04 -0.333037676482E+04 -0.165723475588E+04 -0.306538695028E+04 -0.327781575172E+04 -0.219525361154E+04 -0.962876573998E+03 -0.108213931974E+04 -0.603790717254E+03 -0.175944910822E+04 -0.344565954077E+04 -0.370472923938E+04
  0.113865724268E+02 -0.174195519388E+04 -0.476614497023E+04 -0.332094546898E+04 -0.165280458918E+04 -0.305301743071E+04 -0.326447918770E+04 -0.218252751231E+04 -0.955648761058E+03 -0.106920732341E+04 -0.599129575481E+03 -0.174796180985E+04 -0.343142530556E+04 -0.367057716284E+04
  0.114157998303E+02 -0.171997283865E+04 -0.474836148280E+04 -0.331129187686E+04 -0.164828566676E+04 -0.304068472758E+04 -0.325103208820E+04 -0.216979058956E+04 -0.948481893462E+03 -0.105624031266E+04 -0.594448366705E+03 -0.173639019799E+04 -0.341710205863E+04 -0.363646140711E+04
  0.114450809351E+02 -0.169823969188E+04 -0.473040593018E+04 -0.330141696977E+04 -0.164368085094E+04 -0.302838831112E+04 -0.323748539008E+04 -0.215704936217E+04 -0.941374745780E+03 -0.104324409471E+04 -0.589748377759E+03 -0.172473644863E+04 -0.340269095825E+04 -0.360240135194E+04
  0.114744166166E+02 -0.167645199527E+04 -0.471227572879E+04 -0.329132171471E+04 -0.163899295766E+04 -0.301612763668E+04 -0.322385004416E+04 -0.214431044653E+04 -0.934326121206E+03 -0.103022428746E+04 -0.585030915820E+03 -0.171300270026E+04 -0.338819306785E+04 -0.356839396525E+04
  0.115038077970E+02 -0.165428139683E+04 -0.469397097891E+04 -0.328100706278E+04 -0.163422482089E+04 -0.300390214228E+04 -0.321013709949E+04 -0.213158052065E+04 -0.927334807312E+03 -0.101718654692E+04 -0.580297296570E+03 -0.170119109499E+04 -0.337360943721E+04 -0.353444186203E+04
  0.115332554466E+02 -0.163274848166E+04 -0.467550058842E+04 -0.327047397987E+04 -0.162937924599E+04 -0.299171125952E+04 -0.319635760059E+04 -0.211886634862E+04 -0.920399567414E+03 -0.100413641972E+04 -0.575548788089E+03 -0.168930375792E+04 -0.335894101373E+04 -0.350056684195E+04
  0.115627605731E+02 -0.161155379946E+04 -0.465685967469E+04 -0.325972350632E+04 -0.162445892588E+04 -0.297955443796E+04 -0.318252240599E+04 -0.210617482982E+04 -0.913519131450E+03 -0.991079075070E+03 -0.570786515298E+03 -0.167734276352E+04 -0.334418848881E+04 -0.346676322300E+04
  0.115923241883E+02 -0.159037335763E+04 -0.463804976022E+04 -0.324875669674E+04 -0.161946655830E+04 -0.296743113390E+04 -0.316864245289E+04 -0.209351296309E+04 -0.906692218641E+03 -0.978019674978E+03 -0.566011591336E+03 -0.166531019961E+04 -0.332935251925E+04 -0.343303677466E+04
  0.116219473016E+02 -0.156938628459E+04 -0.461907992948E+04 -0.323757460562E+04 -0.161440486036E+04 -0.295534081491E+04 -0.315472877291E+04 -0.208088784240E+04 -0.899917553468E+03 -0.964963411051E+03 -0.561225148106E+03 -0.165320817327E+04 -0.331443375785E+04 -0.339940801306E+04
  0.116516309206E+02 -0.154859300782E+04 -0.459995280025E+04 -0.322617826759E+04 -0.160927648684E+04 -0.294328301999E+04 -0.314079216387E+04 -0.206830666894E+04 -0.893193961588E+03 -0.951915184610E+03 -0.556428364400E+03 -0.164103875073E+04 -0.329943273626E+04 -0.336588699377E+04
  0.116813760503E+02 -0.152740172684E+04 -0.458066347459E+04 -0.321456870926E+04 -0.160408407419E+04 -0.293125732849E+04 -0.312684336577E+04 -0.205577674940E+04 -0.886520319735E+03 -0.938879774664E+03 -0.551622452292E+03 -0.162880399009E+04 -0.328434992626E+04 -0.333247057820E+04
  0.117111836932E+02 -0.150647288347E+04 -0.456121063527E+04 -0.320274696334E+04 -0.159883028811E+04 -0.291926332988E+04 -0.311289325541E+04 -0.204330549430E+04 -0.879895499664E+03 -0.925862022095E+03 -0.546808640355E+03 -0.161650597827E+04 -0.326918580717E+04 -0.329916219271E+04
  0.117410548487E+02 -0.148614856611E+04 -0.454160371689E+04 -0.319071411697E+04 -0.159351773267E+04 -0.290730083720E+04 -0.309895267800E+04 -0.203090044211E+04 -0.873318391840E+03 -0.912866583905E+03 -0.541988116137E+03 -0.160414683444E+04 -0.325394078876E+04 -0.326598478440E+04
