# E_avg	g/G	Eg	EG	gamma	Gamma
1.0641038363e+04 2.4051785182e+01 1.0641038362e+04 1.0641038363e+04 4.7978491064e+00 1.9947995835e-01
1.0646171463e+04 7.2802551972e+01 1.0646171462e+04 1.0646171463e+04 2.0685891393e+00 2.8413689950e-02
1.0677365773e+04 1.0624932634e+02 1.0677365762e+04 1.0677365783e+04 2.8629806431e+00 2.6945871017e-02
1.0692708265e+04 1.9634408380e+01 1.0692708262e+04 1.0692708267e+04 3.9779471475e+00 2.0260081539e-01
1.0710505940e+04 1.6152879481e+02 1.0710505962e+04 1.0710505918e+04 2.7049362846e+00 1.6745845766e-02
1.0742091681e+04 2.0911476032e+01 1.0742091662e+04 1.0742091700e+04 3.5849490585e+00 1.7143452968e-01
1.0743511376e+04 8.0456669165e+01 1.0743511362e+04 1.0743511389e+04 3.1898528116e+00 3.9646841520e-02
1.0776368804e+04 2.0982850822e+02 1.0776368762e+04 1.0776368845e+04 2.6665609945e+00 1.2708287435e-02
1.0791281658e+04 2.3871694763e+01 1.0791281662e+04 1.0791281653e+04 3.9687328316e+00 1.6625266329e-01
1.0809405089e+04 1.3510558105e+02 1.0809405062e+04 1.0809405116e+04 2.9068000339e+00 2.1515025592e-02
1.0838192285e+04 4.4391909949e+01 1.0838192162e+04 1.0838192407e+04 2.4583184360e+00 5.5377622608e-02
1.0844290118e+04 4.4809239550e+01 1.0844290062e+04 1.0844290174e+04 4.3654701497e+00 9.7423437521e-02
1.0873944006e+04 2.3743661747e+03 1.0873943662e+04 1.0873944350e+04 2.2481711426e+00 9.4685106560e-04
1.0889648306e+04 3.9464330628e+01 1.0889648262e+04 1.0889648349e+04 4.3837889503e+00 1.1108230852e-01
1.0907548204e+04 2.2582623858e+02 1.0907547562e+04 1.0907548845e+04 2.6640414456e+00 1.1796864095e-02
1.0934044354e+04 8.4183649782e+01 1.0934043462e+04 1.0934045246e+04 2.9009629056e+00 3.4459932696e-02
1.0944096843e+04 7.3208496235e+01 1.0944096362e+04 1.0944097323e+04 4.0530867488e+00 5.5363611565e-02
1.0970032122e+04 3.0228284054e+03 1.0970029262e+04 1.0970034981e+04 2.1560839024e+00 7.1326705100e-04
1.0988359094e+04 7.9419168616e+01 1.0988359062e+04 1.0988359125e+04 4.6807177419e+00 5.8936876619e-02
1.1030709297e+04 1.8473504709e+02 1.1030704662e+04 1.1030713931e+04 3.5287468923e+00 1.9101664508e-02
1.1041861651e+04 1.4354006504e+02 1.1041857062e+04 1.1041866240e+04 3.4293463418e+00 2.3891213514e-02
1.1086605093e+04 1.7860328126e+02 1.1086604662e+04 1.1086605524e+04 4.5401415994e+00 2.5420258617e-02
1.1324374821e+04 2.9333551016e+03 1.1324372762e+04 1.1324376879e+04 4.7047293818e+00 1.6038731142e-03
